msg,time,user,A_type,B_type,m-type,receiver,A_inst,B_inst,userID,DU ID,Grounding Act,Opened CGUs,Grounded CGUs,Degree,m_type
Okay I'm in one with wooden curving stairs... a white topped table to the left... and an open door on the second storey,0:02:50,A,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016801.jpg,/s/staircase/ADE_train_00016827.jpg,533.0,"[12, 13]","['Explicit-Ack', 'Initiate']",[13],[12],['medium'],
I don't think it's the same as yours,0:03:04,A,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016801.jpg,/s/staircase/ADE_train_00016801.jpg,533.0,[16],['Initiate'],[16],[],[],
moving to south now.,0:03:04,A,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016801.jpg,/s/staircase/ADE_train_00016801.jpg,533.0,[16],['Initiate'],[16],[],[],
i am in a living room,0:03:04,A,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00011270.jpg,/l/living_room/ADE_train_00011226.jpg,766.0,[101],['Initiate'],[101],[103],[],
red and blue couch,0:03:11,A,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00011270.jpg,/l/living_room/ADE_train_00011226.jpg,766.0,[102],['Initiate'],[102],[103],[],
okay describe it and I'll find you,0:03:19,B,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00011270.jpg,/l/living_room/ADE_train_00011226.jpg,767.0,"[103, 104]","['Use', 'Initiate']",[104],"[102, 104, 105]",['medium'],
"yellow wall, has a flag on it",0:03:19,A,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00011270.jpg,/l/living_room/ADE_train_00011226.jpg,766.0,"[103, 104]","['Use', 'Initiate']",[104],,['medium'],
coffee table looks like an old straw crate,0:03:40,A,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00011270.jpg,/l/living_room/ADE_train_00011270.jpg,766.0,[105],['Initiate'],[105],,[],
Painting of a cat holding a bow?,0:03:49,B,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00011270.jpg,/l/living_room/ADE_train_00011270.jpg,767.0,"[102, 104, 105, 106]","['Move', 'Move', 'Move', 'Initiate']",[106],,"['low', 'low', 'low']",
No but painting of a bear holding a fish. Move to a new location.,0:03:49,A,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00011270.jpg,/l/living_room/ADE_train_00011270.jpg,767.0,"[102, 104, 105, 106]","['Move', 'Move', 'Move', 'Initiate']",[106],,"['low', 'low', 'low']",
I've found a child's room.,0:03:49,B,/c/childs_room,/c/childs_room,text,All,/c/childs_room/ADE_train_00005513.jpg,/c/childs_room/ADE_train_00005465.jpg,175.0,[201],['Initiate'],[201],[201],[],
i am in a child,0:03:51,A,/c/childs_room,/c/childs_room,text,All,/c/childs_room/ADE_train_00005513.jpg,/c/childs_room/ADE_train_00005465.jpg,174.0,[202],['Initiate'],[202],[202],[],
's room too,0:03:54,A,/c/childs_room,/c/childs_room,text,All,/c/childs_room/ADE_train_00005513.jpg,/c/childs_room/ADE_train_00005465.jpg,174.0,"[201, 202]","['Use', 'Continue']",[203],[203],['medium'],
blue comforter and teddy bear?,0:04:02,A,/c/childs_room,/c/childs_room,text,All,/c/childs_room/ADE_train_00005513.jpg,/c/childs_room/ADE_train_00005465.jpg,174.0,[203],['Initiate'],[204],"[204, 205]",[],
"There are two beds. with a purplish mattress, and a biege comforter across each",0:04:08,B,/c/childs_room,/c/childs_room,text,All,/c/childs_room/ADE_train_00005513.jpg,/c/childs_room/ADE_train_00005465.jpg,175.0,"[202, 204]","['Use', 'Initiate']",[205],[206],['medium'],
nope.,0:04:09,B,/c/childs_room,/c/childs_room,text,All,/c/childs_room/ADE_train_00005513.jpg,/c/childs_room/ADE_train_00005465.jpg,175.0,"[203, 205]","['Use', 'Initiate']",[206],,['medium'],
oh i can look for that one,0:04:17,A,/c/childs_room,/c/childs_room,text,All,/c/childs_room/ADE_train_00005513.jpg,/c/childs_room/ADE_train_00005465.jpg,174.0,"[204, 205, 206]","['Use', 'Use', 'Initiate']",[207],,"['medium', 'medium']",
okay.,0:04:23,B,/s/street,/c/childs_room,text,All,/s/street/ADE_train_00017324.jpg,/c/childs_room/ADE_train_00005465.jpg,175.0,[206],['Explicit-Ack'],[208],,['medium'],
there's also a set of pink and white towels hanging by the foot of the bed,0:04:34,B,/l/living_room,/c/childs_room,text,All,/l/living_room/ADE_train_00000836.jpg,/c/childs_room/ADE_train_00005465.jpg,175.0,[207],['Initiate'],,,[],
"there's a small white nightstand between them, with a little lamp on it.",0:05:21,B,/s/street,/c/childs_room,text,All,/s/street/ADE_train_00017324.jpg,/c/childs_room/ADE_train_00005465.jpg,175.0,[208],['Initiate'],,,[],
I'm heading to a new location.,0:05:21,B,/s/street,/c/childs_room,text,All,/s/street/ADE_train_00017324.jpg,/c/childs_room/ADE_train_00005465.jpg,175.0,[208],['Initiate'],,,[],
found one with a white folding panel door,0:05:21,A,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007322.jpg,/d/doorway/indoor/ADE_train_00007338.jpg,865.0,[301],['Initiate'],[301],"[301, 302]",[],
through the door you can see a table with orange flowers on it,0:05:31,A,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007322.jpg,/d/doorway/indoor/ADE_train_00007338.jpg,865.0,[302],['Initiate'],[302],[303],[],
okay great I will look,0:05:36,B,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007322.jpg,/d/doorway/indoor/ADE_train_00007338.jpg,866.0,"[301, 302, 303]","['Explicit-Ack', 'Explicit-Ack', 'Initiate']",[303],"[304, 305]","['medium', 'medium']",
the bottom half of the walls are blue,0:05:43,A,/d/doorway/indoor,/s/street,text,All,/d/doorway/indoor/ADE_train_00007322.jpg,/s/street/ADE_train_00018384.jpg,865.0,"[303, 304]","['Use', 'Initiate']",[304],[306],['medium'],
there's also one that looks like its in a garage,0:06:14,A,/s/street,/d/doorway/indoor,text,All,/s/street/ADE_train_00018384.jpg,/d/doorway/indoor/ADE_train_00007318.jpg,865.0,[305],['Initiate'],[305],,[],
with a wood ceiling,0:06:20,A,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007318.jpg,/d/doorway/indoor/ADE_train_00007318.jpg,865.0,[305],['Continue'],[306],,[],
I'm in the one that looks like a garage now,0:06:23,B,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007318.jpg,/d/doorway/indoor/ADE_train_00007318.jpg,866.0,"[304, 305, 306]","['Move', 'Use', 'Initiate']",[305],,"['low', 'medium']",
and a large white door,0:06:25,A,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007318.jpg,/d/doorway/indoor/ADE_train_00007318.jpg,865.0,[305],['Continue'],,,[],
ok,0:06:26,A,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007318.jpg,/d/doorway/indoor/ADE_train_00007318.jpg,865.0,[306],['Explicit-Ack'],,,['medium'],
What was the painting in the living room that I visited?,0:06:30,B,,,Question,,,,,,,,,,
It was a a cat holding a bow,0:06:34,A,,,Answer,,,,,,,,,,
cat holding a bow,,,,,,,,,,,,,,,answer_line
