msg,time,user,A_type,B_type,m-type,receiver,A_inst,B_inst,userID,DU ID,Grounding Act,Opened CGUs,Grounded CGUs,Degree,m_type
WILL DO,0:04:38,A,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1078.0,"[112, 113]","['Use', 'Initiate']",[115],[117],['medium'],
k,0:04:42,B,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,[113],['Explicit-Ack'],,"[116, 118]",['medium'],
TRYING,0:05:06,A,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1078.0,[114],['Initiate'],[116],,[],
no problem,0:05:12,B,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,[114],['Explicit-Ack'],[117],,['medium'],
I am having diffiuclty moving,0:05:21,A,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1078.0,[115],['Initiate'],[116],"[119, 120]",[],
look:,0:05:36,A,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1078.0,,,[118],[121],,
strange i try to go one directionuntil i cant,0:05:41,B,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,"[115, 116]","['Explicit-Ack', 'Initiate']",[119],"[122, 123]",['medium'],
using the backslash and whatever options it lets me,0:05:59,B,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,[116],['Continue'],,[124],[],
This is not lettign me move a tall,0:06:02,A,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1078.0,"[116, 117]","['Use', 'Initiate']",[120],,['medium'],
maybe thats a forward slash,0:06:21,B,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,"[117, 116]","['Use', 'Repair']",,,['medium'],
if you type forward slash and then s it may say no but tell you other options to try,0:06:41,B,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,[118],['Initiate'],[121],,[],
I do not know if I need to refresh ,0:07:42,A,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1078.0,"[116, 118, 119]","['Move', 'Move', 'Initiate']",[122],,"['low', 'low']",
I am sorry,0:07:54,A,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1078.0,,,[123],,,
moving now,0:08:24,A,/s/street,/h/hotel_room,text,All,/s/street/ADE_train_00016911.jpg,/h/hotel_room/ADE_train_00009531.jpg,1078.0,[120],['Initiate'],[124],,[],
no problem,0:08:52,B,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,,,[125],,,
pput the slash before,0:09:16,B,/s/street,/h/hotel_room,text,All,/s/street/ADE_train_00017923.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,"[119, 120, 121]","['Move', 'Move', 'Initiate']",,,"['low', 'low']",
home offfice,0:09:24,A,/h/home_office,/h/hotel_room,text,All,/h/home_office/ADE_train_00009315.jpg,/h/hotel_room/ADE_train_00009531.jpg,1078.0,"[121, 122]","['Move', 'Initiate']",,,['low'],
I see a blue COuch,0:09:34,A,/h/home_office,/h/hotel_room,text,All,/h/home_office/ADE_train_00009315.jpg,/h/hotel_room/ADE_train_00009531.jpg,1078.0,[123],['Initiate'],,,[],
ok et me find it ,0:09:41,B,/h/home_office,/h/hotel_room,text,All,/h/home_office/ADE_train_00009315.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,"[122, 123, 124]","['Explicit-Ack', 'Explicit-Ack', 'Initiate']",,,"['medium', 'medium']",
black chair,0:09:55,A,/h/home_office,/h/home_office,text,All,/h/home_office/ADE_train_00009315.jpg,/h/home_office/ADE_train_00009385.jpg,1078.0,"[124, 125]","['Use', 'Initiate']",,,['medium'],
I'm shifting to a different room.,0:09:55,A,/h/home_office,/h/home_office,text,All,/h/home_office/ADE_train_00009315.jpg,/h/home_office/ADE_train_00009385.jpg,1078.0,"[124, 125]","['Use', 'Initiate']",,,['medium'],
I think I am in a basement,0:09:55,B,/a/attic,/b/basement,text,All,/a/attic/ADE_train_00001904.jpg,/b/basement/ADE_train_00002478.jpg,561.0,[201],['Initiate'],[201],[201],[],
"ok, describe pls",0:10:00,A,/a/attic,/b/basement,text,All,/a/attic/ADE_train_00001904.jpg,/b/basement/ADE_train_00002478.jpg,560.0,"[201, 202]","['Explicit-Ack', 'Initiate']",[202],[202],['medium'],
brown paneling,0:10:02,B,/a/attic,/b/basement,text,All,/a/attic/ADE_train_00001904.jpg,/b/basement/ADE_train_00002478.jpg,561.0,[203],['Initiate'],[203],"[203, 204]",[],
door on left of me and door in front of me,0:10:16,B,/r/reception,/b/basement,text,All,/r/reception/ADE_train_00015757.jpg,/b/basement/ADE_train_00002478.jpg,561.0,"[202, 204]","['Use', 'Initiate']",[204],[205],['medium'],
chereked floor?,0:10:46,A,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002500.jpg,/b/basement/ADE_train_00002478.jpg,560.0,"[203, 204, 205]","['Move', 'Move', 'Initiate']",[205],[205],"['low', 'low']",
chekered,0:10:50,A,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002500.jpg,/b/basement/ADE_train_00002478.jpg,560.0,"[205, 206]","['Use', 'Initiate']",[206],[206],['medium'],
no,0:10:50,B,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002500.jpg,/b/basement/ADE_train_00002478.jpg,561.0,"[205, 206]","['Use', 'Initiate']",[206],,['medium'],
ok,0:10:57,A,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002478.jpg,/b/basement/ADE_train_00002478.jpg,560.0,[206],['Explicit-Ack'],[208],,['medium'],
paneling,0:11:02,A,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002478.jpg,/b/basement/ADE_train_00002478.jpg,560.0,[208],['Initiate'],,,[],
with doors,0:11:03,A,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002478.jpg,/b/basement/ADE_train_00002478.jpg,560.0,[208],['Continue'],,,[],
"Alright, I'm relocating now.",0:11:03,A,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002478.jpg,/b/basement/ADE_train_00002478.jpg,560.0,[208],['Continue'],,,[],
"ok, i found a doorway",0:11:03,A,/d/doorway/indoor,/s/staircase,text,All,/d/doorway/indoor/ADE_train_00007338.jpg,/s/staircase/ADE_train_00016814.jpg,408.0,[301],['Initiate'],[301],[301],[],
im in a doorway,0:11:14,B,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007338.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,407.0,"[301, 302]","['Move', 'Initiate']",[302],[303],['low'],
the door has windows on either side of it,0:11:19,A,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007338.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,408.0,[303],['Initiate'],[303],"[302, 304]",[],
nope,0:11:26,B,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007338.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,407.0,"[303, 304]","['Use', 'Initiate']",[304],[309],['medium'],
the door is open,0:11:31,B,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007338.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,407.0,[305],['Initiate'],[305],"[308, 310]",[],
whats yours look like,0:11:32,A,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007338.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,408.0,"[302, 304, 306]","['Move', 'Move', 'Initiate']",[306],[311],"['low', 'low']",
we are in different rooms,0:11:39,B,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007338.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,407.0,[307],['Initiate'],[307],"[312, 313]",[],
keep describing yours,0:11:51,A,/g/game_room,/d/doorway/indoor,text,All,/g/game_room/ADE_train_00008424.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,408.0,[309],['Initiate'],[309],,[],
to you want to find me or me you,0:11:51,B,/g/game_room,/d/doorway/indoor,text,All,/g/game_room/ADE_train_00008424.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,407.0,[309],['Initiate'],[309],[313],[],
i'm looking around,0:11:55,A,/g/game_room,/d/doorway/indoor,text,All,/g/game_room/ADE_train_00008424.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,408.0,"[309, 310]","['Use', 'Initiate']",[310],,['medium'],
the door in wooden,0:12:02,B,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007325.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,407.0,"[308, 310, 311]","['Use', 'Use', 'Initiate']",[311],,"['medium', 'medium']",
okay,0:12:09,A,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007325.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,408.0,[311],['Explicit-Ack'],[312],,['medium'],
a car out the door?,0:12:12,A,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007325.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,408.0,[312],['Initiate'],[313],,[],
and white cabinets to the right?,0:12:17,A,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007325.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,408.0,[313],['Initiate'],[313],,[],
yes ,0:12:24,B,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007325.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,407.0,"[312, 313]","['Use', 'Use']",,,"['ambiguous', 'medium']",
wood floor?,0:12:26,A,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007325.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,408.0,[313],['Initiate'],,,[],
ok,0:12:27,A,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007325.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,408.0,,,,,,
yes,0:12:30,B,/d/doorway/indoor,/d/doorway/indoor,text,All,/d/doorway/indoor/ADE_train_00007325.jpg,/d/doorway/indoor/ADE_train_00007325.jpg,407.0,[313],['Use'],,,['medium'],
What was the room that I visited which had the white walls?,0:12:34,B,,,Question,,,,,,,,,,
It was the basement,0:12:38,A,,,Answer,,,,,,,,,,
basement,,,,,,,,,,,,,,,answer_line
